##### Convolution | rows=205 cols=9 #####
Table de convolution formelle |  |  |  |  |  |  |  | 
Chaque terme vaut c₁·k^e₁ + c₂·k^e₂. Cette représentation encode les additions et soustractions sans figer k. |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  | 
TERMES DES SUITES |  |  |  |  |  |  |  | 
Rapport | Suite | Ordre | Coeff 1 | Exposant 1 | Coeff 2 | Exposant 2 | Valeur | Expression formelle
1/9 | B | 10 | 1 | 10 | -1 | 8 | 3443737680 | k^10 - k^8
1/9 | B | 11 | 1 | 11 | -1 | 9 | 30993639120 | k^11 - k^9
1/10 | A | 1 | 1 | 1 | 0 | 0 | 10 | k^1
1/10 | A | 2 | 1 | 2 | 0 | 0 | 100 | k^2
1/10 | A | 3 | 1 | 3 | 0 | 0 | 1000 | k^3
1/10 | A | 4 | 1 | 4 | 0 | 0 | 10000 | k^4
1/10 | A | 5 | 1 | 5 | 0 | 0 | 100000 | k^5
1/10 | A | 6 | 1 | 6 | 0 | 0 | 1000000 | k^6
1/10 | A | 7 | 1 | 7 | 0 | 0 | 10000000 | k^7
1/10 | A | 8 | 1 | 8 | 0 | 0 | 100000000 | k^8
1/10 | A | 9 | 1 | 9 | -1 | 7 | 990000000 | k^9 - k^7
1/10 | A | 10 | 1 | 10 | -1 | 8 | 9900000000 | k^10 - k^8
1/10 | B | 1 | 1 | 1 | 0 | 0 | 10 | k^1
1/10 | B | 2 | 1 | 2 | 0 | 0 | 100 | k^2
1/10 | B | 3 | 1 | 3 | 0 | 0 | 1000 | k^3
1/10 | B | 4 | 1 | 4 | 0 | 0 | 10000 | k^4
1/10 | B | 5 | 1 | 5 | 0 | 0 | 100000 | k^5
1/10 | B | 7 | 1 | 7 | 0 | 0 | 10000000 | k^7
1/10 | B | 8 | 1 | 8 | 0 | 0 | 100000000 | k^8
1/10 | B | 9 | 1 | 9 | 0 | 0 | 1000000000 | k^9
1/10 | B | 10 | 1 | 10 | -1 | 8 | 9900000000 | k^10 - k^8
1/10 | B | 11 | 1 | 11 | -1 | 9 | 99000000000 | k^11 - k^9
1/11 | A | 1 | 1 | 1 | 0 | 0 | 11 | k^1
1/11 | A | 2 | 1 | 2 | 0 | 0 | 121 | k^2
1/11 | A | 3 | 1 | 3 | 0 | 0 | 1331 | k^3
1/11 | A | 4 | 1 | 4 | 0 | 0 | 14641 | k^4
1/11 | A | 5 | 1 | 5 | 0 | 0 | 161051 | k^5
1/11 | A | 6 | 1 | 6 | 0 | 0 | 1771561 | k^6
1/11 | A | 7 | 1 | 7 | 0 | 0 | 19487171 | k^7
1/11 | A | 8 | 1 | 8 | 0 | 0 | 214358881 | k^8
1/11 | A | 9 | 1 | 9 | -1 | 7 | 2338460520 | k^9 - k^7
1/11 | A | 10 | 1 | 10 | -1 | 8 | 25723065720 | k^10 - k^8
1/11 | B | 1 | 1 | 1 | 0 | 0 | 11 | k^1
1/11 | B | 2 | 1 | 2 | 0 | 0 | 121 | k^2
